"sample","fastq_1","fastq_2","strandedness"
"cWD_WT_REP1","SLX-22500.UDI0057rna.r1.fq.gz","SLX-22500.UDI0057rna.r2.fq.gz","reverse"
"cWD_WT_REP2","SLX-22500.UDI0058rna.r1.fq.gz","SLX-22500.UDI0058rna.r2.fq.gz","reverse"
"cWD_WT_REP3","SLX-22500.UDI0059rna.r1.fq.gz","SLX-22500.UDI0059rna.r2.fq.gz","reverse"
"cWD_WT_REP4","SLX-22500.UDI0060rna.r1.fq.gz","SLX-22500.UDI0060rna.r2.fq.gz","reverse"
"cWD_WT_REP5","SLX-22500.UDI0061rna.r1.fq.gz","SLX-22500.UDI0061rna.r2.fq.gz","reverse"
"cWD_WT_REP6","SLX-22500.UDI0062rna.r1.fq.gz","SLX-22500.UDI0062rna.r2.fq.gz","reverse"
"cWD_KO_REP1","SLX-22500.UDI0063rna.r1.fq.gz","SLX-22500.UDI0063rna.r2.fq.gz","reverse"
"cWD_KO_REP2","SLX-22500.UDI0064rna.r1.fq.gz","SLX-22500.UDI0064rna.r2.fq.gz","reverse"
"cWD_KO_REP3","SLX-22500.UDI0065rna.r1.fq.gz","SLX-22500.UDI0065rna.r2.fq.gz","reverse"
"cWD_KO_REP4","SLX-22500.UDI0066rna.r1.fq.gz","SLX-22500.UDI0066rna.r2.fq.gz","reverse"
"cWD_KO_REP5","SLX-22500.UDI0067rna.r1.fq.gz","SLX-22500.UDI0067rna.r2.fq.gz","reverse"
"cWD_KO_REP6","SLX-22500.UDI0068rna.r1.fq.gz","SLX-22500.UDI0068rna.r2.fq.gz","reverse"
"iWD_WT_REP1","SLX-22500.UDI0069rna.r1.fq.gz","SLX-22500.UDI0069rna.r2.fq.gz","reverse"
"iWD_WT_REP2","SLX-22500.UDI0070rna.r1.fq.gz","SLX-22500.UDI0070rna.r2.fq.gz","reverse"
"iWD_WT_REP3","SLX-22500.UDI0071rna.r1.fq.gz","SLX-22500.UDI0071rna.r2.fq.gz","reverse"
"iWD_WT_REP4","SLX-22500.UDI0072rna.r1.fq.gz","SLX-22500.UDI0072rna.r2.fq.gz","reverse"
"iWD_WT_REP5","SLX-22500.UDI0073rna.r1.fq.gz","SLX-22500.UDI0073rna.r2.fq.gz","reverse"
"iWD_WT_REP6","SLX-22500.UDI0074rna.r1.fq.gz","SLX-22500.UDI0074rna.r2.fq.gz","reverse"
"iWD_KO_REP1","SLX-22500.UDI0075rna.r1.fq.gz","SLX-22500.UDI0075rna.r2.fq.gz","reverse"
"iWD_KO_REP2","SLX-22500.UDI0076rna.r1.fq.gz","SLX-22500.UDI0076rna.r2.fq.gz","reverse"
"iWD_KO_REP3","SLX-22500.UDI0077rna.r1.fq.gz","SLX-22500.UDI0077rna.r2.fq.gz","reverse"
"iWD_KO_REP4","SLX-22500.UDI0078rna.r1.fq.gz","SLX-22500.UDI0078rna.r2.fq.gz","reverse"
"iWD_KO_REP5","SLX-22500.UDI0079rna.r1.fq.gz","SLX-22500.UDI0079rna.r2.fq.gz","reverse"
"iWD_KO_REP6","SLX-22500.UDI0080rna.r1.fq.gz","SLX-22500.UDI0080rna.r2.fq.gz","reverse"
